Frame,Texto Extraído
1,"ts Cw. AR Be Hei Decal Si 72°

Time since last response:

BPS 20sec, 22: OMS

2.8ms Sync: 0, 1ms

ars Ti ans SyncGPU: 0. 3ms
GPUE Poms

“In/Out kbps: 286 UI 7 UDP TRC 8) {Node ¥L]
GDEs Synced: 99 You RVIEW PERFORMANCE

DEFEAT

RANK | NAME

hy | ALLIES

ENEMIES

|
| scorz | ums

| beavis.

WEE), HEALING | DAMAGE

472997"
11,"BPS 20sec, 22: OMS
Fi re 97 458) 52085 2,85 Sync: 0, 1ms
Input EWR BRS cs S73 ars Ti. ans Syncteu: 8: ane
Time since last response: GPU: 15, 8ms

MT_> GPU RT.

“In/Out kbps: 286 UDP /” 57 ube TRe-8)-tHode-%0.}

GDEs Synced: 99 Ys2 RVIEW PERFORMANCE

RANKINGS

- ae © Aggravaciio for iniciada
ye | ALLIES ENEMIES

| Z YH
Viens ‘lire. ne eee bare fy (AG fie Nine oeae ol"
21,"BPS 28sec, 22: Ome
Fi re 97 458) 52085 2,85 Sync: O,1ms
Input EW, KRS RRS cs S73 ars Ti. ans Syncteu: @: ans
Time since last response: GPU: 15. 8ms

MT_> GPU RT.
~In/Out kbps: 286 UDP / 57 ube TRC BI Thode}

GDEs Synced: 99 Ys2 RVIEW PERFORM CE

- ae © Agravaciio fol iniciada
ae | ALLIES ENEMIES

| W444 |

67 @® BPoeAEDaCEp 9,729 (e) 5 27 (°) 472997"
31,"ol es 17 14581 52090 BPS sine) - aece ene)
et CARTE RSLEER G2 arly bab Sines °8aRs

mene SyncGPU: 6, 3ms

Time since last response: GPU: 15,8ms
“In/Out kbps: 286 UDP / 57 USP TRC 8) [Mode x1
GDEs Synced: 99 Ys2 RVIEW PERFORMS CE

. ae @ A gravaciio fol iniciada
hy | ALLIES ENEMIES

| "" YW
rates or [stone errs an evenie | yAco7 eee alent ae

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

Sow

= +s
[Esc| Back ©"
41,"BPS 203 c, 22: OMS
Fi Teh 8 45K 52100 2.75 Sync: 0, 3ms
Input EW. KR RRS ce ite S173 ars Ti ins Syncteu: @:3ne
Time since last response: GPU: 15.9ms

MT_> GPU RT
~ In/Out kbps: 286 UDP / 57 ube Tac BI Thode}

GDEs Synced: 99 You RVIEW PERFORMS CE

s ae © A gravaciio fo! iniciada
he | ALLIES ENEMIES

| \GYU
Airs alien [stories terms qallpennis) | yAso7 creme aera

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

how

_—- a
[Esc| Back ©"
51,"FPS 30.3 - 33.0ms
ts EM ARERR S 2"" prs"" Li. Sms Synch: 8: ans
Time since last response: GPU: 16.1ms

“In/Out kbps: 286 UDP / 57 ub TRe- BT Thode 21 MT.
GDEs Synced: 99 You RVIEW PERFORMS CE

s ae © A gravaciio fol iniciada
ge | ALLIES ENEMIES

| | \GYMAUE
Aire eve [etorepateerris iallipennis VAs cara ae arte

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

Sow

= a
|Esc| Back ©"
61,"a Hes 8 52121 BPS ee . sean ene)
1G Wy ARSE EST ISS arly bab Sines “Saas

""Ti das SyncGPU: 6. 4ms

Time since last response: 12 ms GPU: 16. 6ns
“In/Out Kbps: 264 UDP 7 59 UDP [RC B] [Mode XL]
GDEs synced: 9 YS RVIEW PERFORM.

ae @ A gravaciio fol iniciada
Mit | ALLIES ENEMIES

| (GYM

DEFEAT

Sow

= 7
[esc| Back ©"
71,"ee:13:20)
Input Sate fbelbas ie Heatlilcoude O72

Time since last response: 12 m

BPS snc, 22: OMS

2.8ms Sync: 0, 2ms

ar: Ti 3as SyncGPU: 6. 4ms
CRUE Te. OMS

S.

“In/Out kbps: 264 UDP / 59 UDP [RC B] [Mode XL]

GDEs Synced: 9 Yeu RVIEW PERFORMANCE
ae

— | ALLIES

ENEMIES

‘ @ A gravacao fol iniciada

INK “a NAME _ ‘ie SCORE

|
| KILLS

|
| DEATHS

| |
_y ASSISTS: G HEALING | DAMAGE |

 @ @ » BRoEDaCEp —9,729

MES a ee oe |

st

[Esc] Back ©"
81,"S 30.3 - 33,0ms

EP!
2 Cy ARISES, 2"" pT; Ti ins: SynePu: 8. ans

Time since last response: 13 ms ope Oms.
“In/Out kbps: 264 UDP / 59 UDP [RC B] [Mode XL]

GDEs Synced: 9 Yeu RVIEW PERT ORMEN CE

‘ @ A gravacao fol iniciada

Mii | ALLIES ENEMIES

| | |
Prereccotiairs (cua see amet OA Cece ye |

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

MES eS oc |

ow

— a
[Esc| Back ©"
91,"BeRER tS 97 4s 52151 WT; 32cens Sync: 8.2ns
Input iW Aso HEoSeD lcs: S72 RT: 11, ims SynebPl: 0. 3ms
ms MT_> GP

Time since last response: pesos:

“In/Out kbps: 260 UDP / 63 UDP [RC B] [Mode XL]
GDEs Synced: 96 Yeu RVIEW PERFORMANCE - RANKINGS
Ea

See @ A gravagdo fo! iniciada
| ALLIES SMES

|
| DAMAGE |

| | |
RANK | NAME | SCORE | KILLS | DEATHS

67 @ BPo2/ADaCEp 9,729 0 5 27 0 472997
a we. Diaasw «10,040 TOR te oxy 1415 na

Ee |

=

N +H

[Esc] Back ©"
